?뵇 Checking synonyms accuracy...

?뱤 Total synonyms to check: 1000

Word 1                  | Word 2                  | ?숈쓽??

----------------------------------------------------------------------
progress                | advance                 |
progress                | flow                    |
progress                | passage                 |
progress                | advancement             |
progress                | process                 |
produce                 | generate                |
produce                 | create                  |
produce                 | induce                  |
produce                 | cause                   |
produce                 | yield                   |
produce                 | spawn                   |
produce                 | prompt                  |
protect                 | secure                  |
protect                 | prevent                 |
protect                 | guard                   |
protect                 | defend                  |
protect                 | fence                   |
protect                 | shield                  |
profile                 | outline                 |
profile                 | geometry                |
profile                 | form                    |
profile                 | frame                   |
profile                 | contour                 |
profile                 | silhouette              |
profile                 | configuration           |
profile                 | fashion                 |
purchase                | grab                    |
purchase                | grasp                   |
purchase                | grip                    |
purchase                | hold                    |
predict                 | foresee                 |
predict                 | anticipate              |
predict                 | warn                    |
predict                 | forecast                |
predict                 | announce                |
predict                 | foretell                |
precaution              | guard                   |
precaution              | screen                  |
precaution              | caution                 |
precaution              | protection              |
precaution              | preventive              |
precaution              | shield                  |
premature               | sudden                  |
premature               | unexpected              |
premature               | abrupt                  |
preview                 | trial                   |
preview                 | exercise                |
preview                 | drill                   |
preview                 | practice                |
income                  | revenue                 |
income                  | profit                  |
income                  | yield                   |
income                  | return                  |
income                  | earnings                |
infection               | attack                  |
infection               | disease                 |
infection               | germ                    |
infection               | epidemic                |
infection               | plague                  |
insight                 | intellect               |
insight                 | wisdom                  |
insight                 | intelligence            |
insight                 | perception              |
insight                 | sensitivity             |
inherent                | innate                  |
inherent                | essential               |
inherent                | inner                   |
inherent                | hereditary              |
inherent                | natural                 |
inherent                | integral                |
inherent                | indigenous              |
inherent                | intrinsic               |
illustrate              | demonstrate             |
illustrate              | explain                 |
illustrate              | instance                |
illustrate              | mention                 |
illustrate              | cite                    |
illustrate              | clarify                 |
illustrate              | analyze                 |
illustrate              | exemplify               |
illustrate              | elucidate               |
illustrate              | specify                 |
outline                 | trace                   |
outline                 | define                  |
outline                 | surround                |
outline                 | silhouette              |
outline                 | trim                    |
outline                 | delineate               |
outbreak                | increase                |
outbreak                | surge                   |
outbreak                | burst                   |
outbreak                | eruption                |
outbreak                | outburst                |
utter                   | absolute                |
utter                   | complete                |
utter                   | definite                |
utter                   | pure                    |
utter                   | simple                  |
utter                   | sheer                   |
recall                  | reproduce               |
recall                  | remember                |
recall                  | recollect               |
recall                  | remind                  |
recycle                 | recover                 |
recycle                 | process                 |
recycle                 | reclaim                 |
reproduce               | produce                 |
reproduce               | generate                |
reproduce               | multiply                |
reproduce               | hatch                   |
reproduce               | breed                   |
reproduce               | spawn                   |
revive                  | renew                   |
retire                  | settle                  |
retire                  | turn in                 |
retire                  | crash                   |
depress                 | oppress                 |
depress                 | torture                 |
depress                 | trouble                 |
depress                 | bother                  |
depress                 | burden                  |
detect                  | locate                  |
detect                  | determine               |
detect                  | discover                |
debate                  | account                 |
debate                  | reflection              |
debate                  | consideration           |
depict                  | illustrate              |
depict                  | represent               |
depict                  | portray                 |
investment              | segregation             |
investment              | isolation               |
outcome                 | effect                  |
outcome                 | result                  |
outcome                 | consequence             |
outcome                 | fate                    |
outcome                 | product                 |
